题号,题目,领域,侧面,反向计分
30,即使讨好奉迎能帮我加薪或晋升，我也不会这么做。,诚实-谦逊,真诚性,0
31,我喜欢看不同地方的地图。,经验开放性,求知欲,0
32,为了达到目标，我通常把自己逼得很紧。,尽责性,勤勉性,0
33,我通常能接受别人的缺点，而不去抱怨。,宜人性,温和性,0
34,在社交场合里，我通常是那个先主动开口攀谈的人。,外向性,社交大胆,0
35,比起大多数人，我担心的事少了很多。,情绪性,焦虑性,1
36,如果经济拮据，我可能会经受不住诱惑去购买赃物。,诚实-谦逊,公平性,1
37,我喜欢从事艺术创作，例如，写小说、写歌、绘画。,经验开放性,创造性,0
38,做事时，我往往不太注意小细节。,尽责性,完美主义,1
39,当别人不同意我的时候，我通常能让自己的意见保持相当的弹性。,宜人性,灵活性,0
40,我喜欢身边常有人可以一起说说话。,外向性,社交性,0
41,我可以面对困难的处境而不需要任何人的情感支持。,情绪性,依赖性,1
42,我希望能够住在一个很昂贵而且很高级的社区。,诚实-谦逊,贪婪回避,1
43,我喜欢那些对事情有独特见解的人。,经验开放性,非传统性,0
44,我因采取行动前没有仔细思考而犯下很多错误。,尽责性,审慎性,1
45,即使别人对待我很差，我也很少生气。,宜人性,耐心,0
46,大多数日子里，我都感到愉快和乐观。,外向性,活力性,0
47,当与我很亲近的人不开心的时候，我往往会感同身受。,情绪性,感伤性,0
48,我不希望别人把我当成比他们高人一等的人来对待。,诚实-谦逊,谦虚性,0
49,如果我有机会，我会想去参加古典音乐会。,经验开放性,审美欣赏,0
50,别人时常拿我房间或桌子的凌乱开玩笑。,尽责性,条理性,1
51,如果有人欺骗过我一次，我以后都会怀疑这人。,宜人性,宽恕性,1
52,我觉得自己是个不受欢迎的人。,外向性,社交自尊,1
53,面对可能使身体受伤的险境，我会很害怕。,情绪性,恐惧性,0
54,如果我想从某人那里得到点什么，即使他讲的笑话再难听，我也会跟着大笑。,诚实-谦逊,真诚性,1
55,我觉得关于科学史和科技史的书都很无趣。,经验开放性,求知欲,1
56,我为自己定下的目标，常常最后未完成就放弃。,尽责性,勤勉性,1
57,评价别人的时候，我通常比较宽厚。,宜人性,温和性,0
58,在团体中，我常是那个代表团体说话的人。,外向性,社交大胆,0
59,我几乎从不因为压力或焦虑而失眠。,情绪性,焦虑性,1
60,即使很有价值或金额很大，我也绝不会接受贿赂。,诚实-谦逊,公平性,0
61,别人经常说我有很好的想象力。,经验开放性,创造性,0
62,为了工作准确无误，我不惜花很多时间。,尽责性,完美主义,0
63,当别人说我错了的时候，通常我的第一个反应就是跟他们争辩。,宜人性,灵活性,1
64,比起独自工作，我更喜欢需要频繁与人打交道的工作。,外向性,社交性,0
65,每当我忧心某些事，我总想跟别人说说自己的忧虑。,情绪性,依赖性,0
66,我想让别人看到我开着名贵的轿车。,诚实-谦逊,贪婪回避,1
67,我觉得自己算是一个有点古怪的人。,经验开放性,非传统性,0
68,我不会因为冲动而做出不理智的行为。,尽责性,审慎性,0
69,大多数的人比我容易生气。,宜人性,耐心,0
70,别人常常对我说，我应该试着快乐起来。,外向性,活力性,1
71,当亲近的人要离开一段很长的时间，我会有很深的感伤。,情绪性,感伤性,0
72,我认为我比一般人更有资格得到更多尊重。,诚实-谦逊,谦虚性,1
73,有时候，我喜欢静静地看着微风拂动树叶。,经验开放性,审美欣赏,0
74,在工作上，我有时候会因为没有事先进行很好的计划而遇到困难。,尽责性,条理性,1
75,我发觉很难完全原谅曾对我刻薄的人。,宜人性,宽恕性,1
76,我有时会觉得自己一文不值。,外向性,社交自尊,1
77,即使面对危急情况，我不会感觉到惊慌。,情绪性,恐惧性,1
78,我不会为了让别人帮我做事而假装喜欢对方。,诚实-谦逊,真诚性,0
79,翻阅百科全书这件事，我从没真正喜欢过。,经验开放性,求知欲,1
80,在工作上，我基本上只做应付过去所需的最低限度工作。,尽责性,勤勉性,1
81,即使在别人犯了很多错误的时候，我也很少说难听的话。,宜人性,温和性,0
82,在一群人面前说话，我会感到非常不自然。,外向性,社交大胆,1
83,在等待一些重大决定的结果时，我会变得非常焦躁。,情绪性,焦虑性,0
84,如果我确定绝不会被抓到，我会禁不住诱惑使用伪钞。,诚实-谦逊,公平性,1
85,我不认为自己是那种有艺术天赋或创意的人。,经验开放性,创造性,1
86,别人常说我是个完美主义者。,尽责性,完美主义,0
87,当我坚信自己是正确的时候，我发觉自己很难去跟人妥协。,宜人性,灵活性,1
88,通常我到新环境做的第一件事就是交新朋友。,外向性,社交性,0
89,我很少跟别人讨论自己的问题。,情绪性,依赖性,1
90,如果有机会可以拥有昂贵的奢侈品，我会获得很大的快乐。,诚实-谦逊,贪婪回避,1
91,我发觉讨论哲学很乏味。,经验开放性,非传统性,1
92,我喜欢想到什么就做什么，不喜欢按计划行事。,尽责性,审慎性,1
93,当有人侮辱我时，我发觉很难去控制自己的脾气。,宜人性,耐心,1
94,大多数人都比平常的我要更乐观和更有活力。,外向性,活力性,1
95,即使在会让大多数人变得很感伤的情境中，我仍可不动情感。,情绪性,感伤性,1
96,我想让别人知道我是个地位高的重要人物。,诚实-谦逊,谦虚性,1
97,我会同情那些比我更不幸的人。,利他主义,利他主义,0
98,我会慷慨地为那些有需要的人提供帮助。,利他主义,利他主义,0
99,伤害一个我不喜欢的人，我也不会觉得不安。,利他主义,利他主义,1
100,别人觉得我是个心肠很硬的人。,利他主义,利他主义,1
